id,type,initial_frame,detection_duration,lenght
742,truck,13807,27,302.49346923828125
743,car,13872,21,126.62286376953125
744,car,13877,62,138.2158203125
745,car,13884,61,158.2386474609375
746,car,13913,16,118.40478515625
747,car,13916,62,145.8359375
748,car,13960,53,133.28759765625
749,car,13973,34,159.37646484375
750,car,13989,37,141.525390625
751,truck,14030,23,349.16033935546875
752,car,14043,46,165.33172607421875
753,train,14063,41,431.50384521484375
754,train,14097,30,400.6522216796875
755,motorcycle,14122,27,144.715087890625
756,car,14123,56,154.1082763671875
757,car,14149,53,172.05665588378906
758,car,14151,29,159.09765625
759,car,14159,30,122.001953125
760,train,14162,34,330.958740234375
761,car,14196,45,139.2025146484375
762,car,14196,1,98.4937744140625
763,car,14199,1,133.3497314453125
764,car,14206,1,129.216552734375
765,car,14221,1,75.32177734375
766,car,14226,53,166.58958435058594
767,car,14228,2,92.5986328125
768,car,14230,1,64.9443359375
769,train,14246,21,264.30902099609375
770,car,14258,53,160.959228515625
771,car,14274,57,116.04107666015625
772,car,14280,51,184.9141845703125
773,car,14305,30,157.98072814941406
774,car,14320,48,159.04888916015625
775,train,14336,15,413.4929504394531
776,truck,14350,23,556.6207275390625
777,car,14380,44,169.87847900390625
778,car,14383,41,121.59033203125
779,car,14435,44,181.84092712402344
780,car,14449,27,42.310302734375
781,train,14454,38,398.87603759765625
782,car,14454,1,80.5830078125
783,truck,14509,8,130.5416259765625
784,truck,14515,19,128.8663330078125
785,motorcycle,14524,1,61.4017333984375
786,car,14535,57,156.07373046875
787,car,14548,54,158.810546875
788,car,14560,66,135.09326171875
789,truck,14578,64,265.86639404296875
790,car,14606,32,155.54310607910156
791,truck,14611,23,240.6900634765625
792,car,14627,12,113.723388671875
793,train,14651,8,405.0048522949219
794,motorcycle,14676,1,67.746337890625
795,truck,14688,15,197.4566650390625
796,truck,14691,22,383.6116943359375
797,car,14701,29,183.2099609375
798,truck,14731,49,231.53684997558594
799,train,14757,27,411.43115234375
800,truck,14794,3,591.6875
801,truck,14834,14,228.576416015625
802,truck,14857,13,171.3946533203125
803,truck,14862,32,129.97833251953125
804,car,14867,13,149.46484375
805,car,14870,29,186.93792724609375
806,car,14893,63,135.107177734375
807,car,14906,57,145.5244140625
808,car,14935,53,162.9403076171875
809,truck,14942,36,285.8792724609375
810,car,14993,52,160.8665771484375
811,car,15003,22,137.823486328125
812,car,15054,3,139.82135009765625
813,train,15077,42,269.15338134765625
814,car,15092,1,105.577392578125
815,car,15138,52,179.02467346191406
816,truck,15148,10,151.01495361328125
